review,rating,category
"barang sudah diterima, bagus bisa langsung dipakai, thx seller 👍👍👍",4,laptop
bagus banget aq suka,4,tablet
"Alhamdulillah yg di tunggu2 sudah datang, belum di pakai langsung di chas dulu.
Semoga awet",4,handphone
"memuaskan ,barang dateng cepat,msh segelan,dn packing cukup rapi,next order lgi,klo ada promo",4,handphone
barangnya bagus ibu aku suka btw maaf telat yang penting ibu aku suka best deh lazada,4,handphone
"barang ok bangt dpt garansi 
dapat tamabahan bonus 
paking rapi banget

pokoee puaas banget..

tank U lazada",4,handphone
"Sama dengan yg lain... Ada lecet sedikit,tapi berfungsi dengan Baik....",4,tablet
"bahan lumayan bagus
berkualitas dan model nya bagus",4,laptop
lama dalam pengiriman,4,handphone
"hp nya ori, bagus, tp sayang packing hp ko jelek bgt ya:( gada bubblewrap bener2 dus hp masuk kardus doang, mohon diperhatikan kedepannya.",4,handphone
"barang bagus, pengiriman cepat, makasih Lazada🙂🙏🙏",4,laptop
bgs. cuman bahanna keras pisan. atas sama bwh th jdi ga k tutup. pas d pke th jdi ga msk bgt. ngangkong jdina th. teu klop msukna.,4,tablet
"Barang berkualitas baik puas, sesuai dengan harga
recomended pokoknya",4,tablet
bagus,4,handphone
"barang yang di pesan sesuai yg diorder, bagus suara nyaenak dan nyaman dipakai nya mantaaaaapppp dech",4,laptop
bagus ibuku suka,4,tablet
lumayan,4,tablet
Sangat memuaskan kak barangnya,4,laptop
Barang lumayan bagus . . dgn harga yang wajar,4,laptop
"bagus, pengirimannya juga cpt",4,laptop
"kurir ok, pada dasarnya bagus namun tidak sesuai dengan ekspektasi saya, karena talinya tipe yang cepat rusak... secara keseluruhan ok lah, namun tidak wah dan tidak istimewa...",4,laptop
"barang bagus,... pengiriman sangat lama 14hari baru nyampe...",4,handphone
barang sampai dengan selamat... meskipun pengiriman agak lama,4,handphone
Ulasan dapat VR bener gak  tuh.... Klo dilihat harganya sih dapat.. Wuih.... Keren..,4,handphone
"packing rapi,,harga sesuai dgn kualitas",4,laptop
alhamdulillah barang nya bagus anak saya suka n' kurirnya ramah makasih & sukses selalu🙏,4,tablet
"barang mah bagus, pengiriman cept, cm motif tidak sesuai dg orderan.",4,tablet
good lah ya wlopun gk ada bonusnya,4,handphone
saya pesen. yg doraemon tapi doraemon nya udah buluk tapi semenjak sya beli g ada apapun sya sedikit kecewa. y gapapa lah trrimakasih seller dan lazada . jangan di ulang lagi y👌,4,tablet
Barang sesuai sama foto dan siip kualitas baik,4,tablet
"terimakasih lazada, barang diterima dengan kondisi yang baik.. .. 
saran konsumen lebih dipercepat wsktu pengirimannya.. tanks",4,handphone
lumayanlah untuk harga segini..cuma bahannya emang agak tipis dibanding tas navy club yg lain..,4,laptop
thanks,4,laptop
"Barang datang cepat dan sesuai dengan deskripsi, pokoknya puas dengan pelayanan Lazada..",4,laptop
"Untung langsung laku,",4,handphone
kelemahan pada tangkapan signal jaringan,4,handphone
terimakasih lazada packet nya sudah sampai dan kurir nya baik juga,4,tablet
"Unitnya bagus, di wrapping nya aman bgt utk shipping nya, packaging juga rapih, windows lgsg di set up juga. Pertanyaan2 dijawab dgn baik.",4,laptop
Bahan tas bagus. . Oke..    Tp untuk tali slempangnya kurang oke...  . Trimakasih lazada.  Trimakasih bag solution.,4,laptop
"barang oke , bonus komplit. tapi pengiriman lebih lambat 2 hari dari estimasi . karena pesanan overload. overall ok.",4,tablet
"mantaap barang nyaa mantuul,..mantap betuul",4,handphone
"bintang 4 aja dulu, karna pengiriman nya lama poooll, barang sih bagus bahan tebel pas lah buat anak SMP/SMA . untuk harga segitu worth it lah",4,laptop
"lacar panjang, batre badak, pokoknya sip.... cuma sayangny speakernya diatas kamera depan, pokoknya manteb deh sudah dapat harga promo.",4,handphone
"barang 3hari sampe..blm dicoba kartu freenya.. lancar"" aja sejauh ini,hanya saja kamera kurang memuaskan..bagusan Oppo f1s(4/64Gb) saya yg lama walaupun kameranya ada 1.. (yg pke flash hasil kamera belakang,yg gk pke itu kamera depan).. tergiur dengan memori n ram tanpa melihat spek lain,hehe semoga awet 👍",4,handphone
barangnya bagus sangat memuaskan trim lazada ...,4,laptop
"Barang sesuai dgn gambar
warna case tidak terkelupas, hanya memang jika tidak pandai merawat akan cpat kotor
tpi barang cukup berkualitas dgn harga segitu.
Terima kasih 🙏",4,tablet
"barang bagus,,  sesuai gambar,  tpi tlinya kurang bagus...",4,tablet
"makasih paketnya udh dateng, barang sesuai pesanan",4,tablet
Tasnya sich ok cuma utk tali kurang yahut. Utk pengiriman saya puas barang datang lebih cepat makasih lazada & navy club,4,tablet
Barang Nya Sudah Sampai Pengiriman Sangat Cepat Kurir Nya Juga Ramah,4,tablet
barang sudah sampai dengan selamat,4,handphone
Agak kecil. Tasnya tp ttp ok bahan bagus,4,laptop
barang bagus... sayang warna tidak sesuai pesanan. pesen hitam yg dtg abu²...😄,4,laptop
"Sempet kecewa dg packagingnya.. dus cuman dilapisi bubblewarp.. jadi penyok seperti di gambar.. tp alhamdulillah barang dlm kondisi baik dan dpt berfungsi dg baik..

saran buat seller.. lain kali klo packaging mohon diperhatikan dg betul.. krn kondisi barang dan kepuasan pembeli hrs diutamakan..

semoga ke depannya bisa barokah dan semakin mengutamakan pelayanan kpd pembeli..",4,laptop
alhamdulilah nyampe paketnya pas dicoba dipake ternyata kebaca .. seneng bgt . terimakasih lazada terimakasih ninjavanid. semoga awet deh 😁 😅,4,laptop
Keren bgt langsung aku pasang,4,tablet
pertahankan proiduknya,4,handphone
Faktur dan kartu garansi tidak ada,4,handphone
"Pesanan diterima sesuai estimasi waktu, tetapi sedikit kecewa, pesan warna abu-abu (grey) dikirim yang warna biru ( ocean blue ). 

Next, agar seller lebih teliti dlm membaca pesanan pembeli.",4,tablet
Seneng banget. Realpict. Terima kasih. Tidak mengecewakan.,4,tablet
