review,rating,category
tidak sesuai dengan yang di tulis di iklannya,2,handphone
pas hari ini...belum 2 bulan sudah matot...ada apa gerangan ?,2,handphone
"kecewaa... order Ransel wrna Loreng tp yg dikirim wrna hitam.. truz cacat Ransel'y,kantong kiri dan kanan'y ga bsa di tutup... krna sleting'y krjahit... 



sayang sekali toko'y ga Quality control dgn Baik.. pdhl saya udh beli tas jg k toko ini sblm'y.. 


sya mnta Ransel'y tlg di Tuker sama yg Loreng dan ga cacat.. sya sangat tunggu niat Baik'y dri Anda.. biar sya ttp bsa brlangganan di toko Anda.. trma ksh..",2,laptop
"maaf baru kasi ulasan..
barang tidak bagus batrai nya gak cocok tutup nya juga gak cocok.. sangat kecewa.",2,handphone
"barang nya ga bagus, gambar nya ga 3D trus karakternya ga terlau nempel, jadi gampang lepas!",2,tablet
Tapi kurang puas bahan nya,2,laptop
"Pengiriman barang tidak sesuai,saya sangat kecewa.",2,tablet
"barang tidak lengkap, tidak ada handsfree, trmpre glass, sejadah, dan pelindung kabel ny.. 
saya sangat kecewa...",2,handphone
Baru d pake 1hari batrai nya udh kembung 😤😤😤,2,tablet
"gmn sih,, minta maroon di kirim merah cabe, padahal di chat udh ok😟",2,tablet
baru kali ini kecewa dengan flash sale. Harga pasaran langsung anjlok di H1.,2,handphone
Usb nnya tidak berfungsi,2,laptop
"dh lma di dtng nya,mw dibatalin dh g bsa,bner ajj barangnya apa adanya sesuai harga x ya,tp g murah2 amat ko tp barangnya sobek dmn2,g bsa buat bawa brng yg berat,ringkih,bhan keras gt,kecewa yg pasti mh",2,laptop
"hp baru dan yah 4GB di pakai sistem 2GB. mana terinstall aplikasi tidak berguna tidak bisa di hapus kecuali di root.
 pengiriman dan pengemasan top. tks.",2,handphone
ehmmmmmm,2,tablet
"Tutup kameranya gak pas, jadi menutupi sebagian kamera",2,tablet
"Power bank nya gk ada, terus gimana mau dipakai ngecas klo gk disediakan power bank, power bank yg dipakai di tas itu, power bank apa ya???",2,laptop
warnanya butek gk sesuai ama gambar,2,tablet
spek di display toko teryata beda dgn unit asli yg sy terima tolong speknya di perbaiki jgn salah tulis bkin kecewa berat ini,2,handphone
"sudah lama menunggu
pesanan Hp 4G
Ram 4 Gb
Rom 64 Gb
yg Datang Hpnya 3G
saya Sangat Kecewa
klo cuma Hp 3G
Disini juga Banyak
ga perlu Sampe 650 ribu lebih
300ribuan juga banyak
gimana sic klo Jualan Jangan Nipu Dong",2,handphone
"Sorry, tp buat evaluasi. Tonton sampai habis biar tau rusaknya dimana. padahal baru sampe barangnya.",2,handphone
sedikit kecewa psen warna maroon datang warna merah ke pink an,2,tablet
suara speakerny jelek. pecah. gak jelas suara yg berbicara,2,handphone
"cepet sampe nya , cuma suaranya jadi kebalik, 
suara di kanan malah ke kiri, kok aneh ya",2,laptop
👎👎👎👎 garansi ta ada.minta merah.dikirim biru.untuk pengiriman cepat,2,handphone
"barang sampai jam 10:30 kemarin, 😢 katanya batrainya tahan seharian. posisi sekitar jam 16:00 batrai 20% trus saya cas posisi ho mati. abis dicas jam 5 sore 100% jam 02:28 pagi dini hari batrai udah berkurang ni cuman 10 jam batrai dari posisi penuh kok tinggal 37%",2,handphone
Kualitas barangnya sungguh murahan sesuai dg harganya yg sangat murah,2,laptop
pesan warna hitam kenapa yg datang warna coklat dah gitu bukan kain kanvas...,2,laptop
"Charger-nya baru satu kali pakai udah nggak berfungsi. Nanya bisa ditukar apa nggak via chat malah nggak bisa jawab. Aneh. Harusnya kan masuk ke dalam garansi. Waktu nanya-nanya tentang produk juga seolah diarahkan disuruh langsung beli aja, nggak boleh kebanyakan nanya.",2,handphone
Lmynlah.,2,laptop
Tidak sesuai dengan gambar packing hanya menggunakan plastik bening saja ..,2,laptop
pantek gak sesuai,2,laptop
Contoh barang dengan yg dikirim berbeda,2,laptop
kecewa pokoknya barang yang di pesan gak sesuai.. di pesan warna hitam yang datang warna pink,2,tablet
"GK sesuai pesanan...
diorder warna putih..yg datang warna gold..",2,handphone
barang tidak sesuai pesanan saya mesan redmi 5plus. di kirim nya redmi 5A payah,2,tablet
"sesuai lah sama harga nya,",2,laptop
"saya sangat kecewa sekali karna dalam dosnya tidak ada headset dan chargernya ditukar dengan yang bukan bawaan dari hp tersebut..........?





 karna ternyata dalam dosnua",2,handphone
pengiriman 7 hari lambat,2,tablet
batre boros,2,handphone
"lama kali di prosesnya,bahan jelek",2,laptop
Ini beneran Xiaomi redmi note 4 snapdragon 625 RAM 4 GB internal 64 GB GARANSI RESMI??,2,handphone
pengiriman nya lama gambar salah saya sangat kecewa bangetttttttt,2,tablet
"Saya dah chat minta casing HP apa yg dtng HP apa, saya chat ke penjual dri penjual ga ada respon.. nyebelin bnget, saya beli bkannya minta.. chat dah 2 hari slsai brng sampe ga ada dibalas sma skali, blg mao tanggung jwb tapi ga ada respon sampe skali.. 👎👎👎",2,tablet
"pesen buat vivo s1
dikirim buat v15",2,tablet
kurang memuaskan tempergllas nya kurang bagus retakkk ...,2,tablet
masak iya penis smaa payudara😢😢mana ni buat anak sd.barang banyak yg rusak 🙄🙄..random sih randon gak barang kayak gitu dikirim,2,tablet
Barang untuk fungsi tombol M/EQ tidak berfungsi sehingga gk basa change mode,2,tablet
kemarin aku beli tapi ga ad isi ny gmn sih jualan ko ga jjr gth sih,2,tablet
Kcewa warna gx sesuay warna,2,handphone
ada satu yg rijek yg sinchan,2,tablet
"Mungkin blm Beruntung Yaa,jdi Cumn dapet jam anak""",2,laptop
"Saya pesan warna merah maroon
Kenapa warna hitam yang dikirim .",2,tablet
"Pabrikasi kurang baik, lubang speaker yang dibor tidak rapi dan rata, miring sebelah, lem keluar, seperti dipaksa dimasukkan, jujur agak sedikit kecewa sbg konsumen padahal sebelumnya saya sudah chat minta tolong agar dipastikan dulu barangnya normal atau tidak, karena saya sulit melakukan pengembalian karena rumah dinas jauh dari kota dan suasana pandemi Covid-19, kedepannya mohon diperbaiki lagi detail pabrikasi handphonenya, sebelum dikirim dipastikan lagi unitnya normal atau tidak, jangan membuat konsumen kecewa Team Xiomi dan Lazada, Terimakasih.",2,handphone
tasnya lumayan bagus,2,laptop
tasnya bagus tpi msa ga ada talinya 😟,2,laptop
makasi barngnya sdh tiba,2,laptop
"Gasukaaaaaaaa;( kesel banget sihh.. ini saya niatnya couple tas gitu sama Ade, ehh tasnya kek gini.. beda model lagi ampun daahh baru kali ini belanja di lazada kecewa kek gini.. ini modelnya knpa bisa beda kek gini sih kan saya pas beli modelnya sama .. Dateng ko beda banget ampunnnn.. lain kali yang amanah dong , klo barangnya kagak ada bilang ke elahh",2,laptop
"Apa mngkn krna harga diskon y jd bhnnya jelek, suami sy gag mau pake.
Slingbagnya juga gag dpt.",2,laptop
"kenapa punya sayah gg sesuay gambar... 
parah...",2,handphone
