review,rating,category
katanya free ongkir koq bayar,3,handphone
"kartu memori saya tidak terbaca, padahal di hp lainnya bisa terbaca",3,handphone
"lmyan bagus, cmn bahan tas ga sesuai Kya yg difoto iklan",3,laptop
apakah hp a21s memang tidak dapat headsetnya?,3,handphone
"saya pesan warna maroon tpi dtang warna hitam,gpp kok sya tetap suka",3,laptop
maav agak telat.. barang bagus.. cepet sampe.. seller pun reapon nya mantap.. minusnya pas dipasang banyak gelembung yg gak bisa ilang..... tp lumayan lah sama harga nya...,3,tablet
"Alhamdulillah barang mendarat dengan selamat , sayang sekali nada deringnya/ suaranya di maksimalkan tetep kecil sekali jadi main getar",3,tablet
"Barang sudah sampai, jumlah sesuai item, tapi power banknya bukan 10.000mAh, sedikit kecewa. Handset belum dicoba. Setelah di coba nannti, baru dikasih lagi ulasan.",3,handphone
"tasnya bagus,tp berasa kecil bner ya😁😁😁",3,tablet
Dengan dimensi sebesar itu ternyata tidak bisa muat begitu banyak karena mungkin memang didesain utk laptop dan tambahan sedikit barang lain,3,laptop
"terimakasih seller, lazada & b kurir🚴📦🚴📦🚴📦🚴📦🚴📦🚴📦🚴📦🚴📦🚴📦🚴📦🚴📦🚴📦🚴📦🚴📦🚴📦",3,laptop
sangat slow respon....  sinyal gk ada.,3,handphone
Barang apaan lah kyak giniii gak berbobot,3,laptop
"Sesuai Pesenan.
tpi sedikit kecewa karena RAM ny kecil. dan layar hanya 9.0 in.
GK sesuai sma deskripsi ny...",3,tablet
"pengiriman lama ,,,",3,handphone
"Paketnya sudah datang, btw sy pesan warna merah tp dikirimnya wrna hitam, ydh gpp sy maklumin, terimakasih",3,tablet
"Sesuai estimasi, tp kurang suka dgn kurirnya",3,handphone
barang yg di kirim ok cuma 1 yg tempered glass nya pecah packing nya kurang sefty,3,handphone
Produk bermasalah.. Speaker atas pelan sekali meskipun volume sudah maksimal,3,handphone
"barang udah nyampe, bagus.. tp sy pesen warna hitam yg dtang warna biru",3,laptop
kualitas audio kurang sempurna,3,handphone
bagus tas ny tp kk klu  mau ngirim paket di teliti dulu di baca dlu jgn smpe salah jgn bikin kecewa sm pelanggan ya ka tlong,3,laptop
"lumayan, yg dikirim tdk sm persis dgn yg gambar...",3,laptop
good bagus 😙,3,tablet
"tidak seperti yang diharapkan, gambar yang tampil dari video hitam putih tidak berwarna dan tidak full screen pinggirnya ada bayangan hitam",3,laptop
Sesuai estimates everything it's good,3,handphone
"Barang ok
Tapi bonus kartu axis quota ng dimasukkan",3,handphone
Kecewa,3,handphone
"Barangnya bagus si😍
kurirnya gak ramah asem😏",3,tablet
"Okay jadi untuk produknya sendiri saya kira tida ada masalah since ini dari LazadaMall, semua tau reputasinya barang dijamin Ori dan sebagainya. Namun demikian izinkan saya mengulas di bagian pelayanannya dan pengirimannya. Untuk pelayanan mungkin bisa lebih fast respond lagi dan lebih jelas dalam menyampaikan info. Terkhusus bagi saya yang cenderung belum familiar menggunakan Lazada butuh penyampaian yang lebih detail terkait teknis transaksi. Terus untuk pengiriman relatif agak lama ya. Dan yang agak fatal adalah kurir tidak langsung menyerahkan barang ke saya dan tida ada konformasi ke saya terkait kepada siapa barang diberikan. Luckily, yang menerima adalah satpam perumahan, padahal tidak jarang banyak orang lain yang standby disana dan bisa jadi barang tidak sampai. Jadi mungkin bisa lebih diperbaiki baik dari merchant maupun Lazadanya karna toh kedua ini saling berkesinambungan kan. Kalo salah satu tidak baik akan mempengaruhi preferensi pembeli dalam memilih merchant/platform.",3,handphone
motif kurang suka.,3,tablet
biasa aja sesuai harga dipasaran,3,tablet
Kasih 3 bintang dlu soal.a blm d buka,3,laptop
Lumayan bagusss dipacking dengan rapih juga namun pengirimannya tidak tepat waktu padahal sudah pilih yang express dan jasa pengirimannya yg dipakai tidak dapat dilacak,3,handphone
"barang sdh diterima dgn baik, earphone berfungsi tp charger tdk bisa dipakai krn kabelnya tdk bisa dimasukin ke lubangnya. bs dituker ga?",3,tablet
ram hpnya g ada...,3,tablet
lumayan lah..,3,laptop
Real pict cuma minus di carger aja selanjutnya agar pelanggan tidak kecewa di coba terlebih dahulu sebelum dikirim ke pelanggan😁 terimakasih lazada,3,tablet
sampainya cepat. tapy. baterainya cepat habis,3,laptop
"packaging aman, pengiriman cepat, barang cukup puas. tapi sayang untuk bonus tg nya tidak sesuai hpnya jadi kesannya kayak semaunya sendiri untuk bonus.. trims",3,handphone
Barang bagus. Pakingnya terkesan asal asalan.hanya d bungkus plastik. Terkesan seperti tas murahan. Resleting macet.,3,tablet
"Unit berfungsi dengan baik
Bateray gak awet cuma sejam habis ntah kenapa 
Kartu garansi gak di isi ama tko 

Paking cukup rapi dan sedikit aman",3,laptop
"Barang terkirim dengan cepat, Respon lazada over all OK. Tapi packing cuma plastik doang, warna beda sama yg di foto, realnya warna pudar kayak tas bekas, g ada kartu garansi, g ada cover bag,, kualitas barang menentukan kepuasan,, Thanks Lazada",3,laptop
kamera nya jejek banget,3,handphone
"bagus sih, tp headset nya cm nyala sebelah",3,tablet
saya pesan navy sma kuning d kirim hitam kecewa,3,tablet
saya pesan yg stich tapi nympe ny warna dan bahannya tdk sesuai gambar...kecewa,3,tablet
"packing rapi,pengiriman lumayan cepat, tapi tasnya ya memang harganya segitu..g diskon pun segitu",3,laptop
"barangnya ga sesuai dan ga muat  di hp sy,tp kalo pengiriman bagus dan kurirnya juga ramah makasih lazada",3,tablet
lumayan sih tpi nge cas nya agk lambat,3,tablet
"Pakingnya kurang aman...
Bublenya kurang...",3,handphone
Meskipun foto itu ada efek lighting nya tapi gak sampe yg parah bgt bedanya. Dan kenapa harganya turun setelah saya order,3,laptop
lumayan.. agak tipis,3,laptop
saya beri 3 bintang karna saya kurang puas. Uda jelas TAS RANSEL POLO gratis ny 2. tp yg saya terima cuma 2.,3,laptop
trimakasih lazada barang udah sampai dan memang barang anti air tanpa rembes,3,tablet
kecewa casing nya g sesuai ga pas ma hp nya,3,tablet
yang pertama bgus semua normal barang yg Dateng barusan hedset nya mati sebelah .....,3,laptop
tasnya yg utama gk sebagus digambar tolong diperbaiki nilai + nya tapi fast respon dalam pengiriman,3,laptop
"batrenya kok cepet habis ya padahal belum di pake sama sekali, pas barang datang langsung di cas selama 8 jam tapi Batre tetap boros,",3,handphone
alhmdllh hp dah sampe bagus cuman cas san nya gak berpungsi,3,handphone
